date,daily_reviews,daily_avg_rating
2010-10-23,1,5.0
2010-11-03,1,1.0
2010-11-04,1,5.0
2010-11-06,1,1.0
2010-11-08,1,5.0
2010-11-09,1,5.0
2010-11-12,1,5.0
2010-11-15,1,5.0
2010-11-16,1,3.0
2010-11-18,3,3.67
2010-11-24,1,3.0
2010-12-08,1,3.0
2010-12-18,1,5.0
2010-12-19,1,2.0
2010-12-20,1,5.0
2010-12-23,1,2.0
2011-01-01,1,5.0
2011-01-02,1,5.0
2011-01-03,2,4.5
2011-01-09,1,5.0
2011-01-11,1,1.0
2011-01-20,1,5.0
2011-01-30,1,3.0
2011-02-05,1,1.0
2011-02-22,1,5.0
2011-03-07,1,3.0
2011-03-13,1,3.0
2011-03-15,1,5.0
2011-03-26,1,5.0
2011-04-07,1,5.0
2011-04-15,1,5.0
2011-04-29,1,4.0
2011-05-01,1,2.0
2011-05-05,1,5.0
2011-05-23,1,4.0
2011-06-19,1,4.0
2011-06-22,1,4.0
2011-07-25,1,3.0
2011-08-16,1,4.0
2011-08-17,1,3.0
2011-08-18,1,4.0
2011-09-07,1,5.0
2011-10-04,1,5.0
2011-11-20,1,4.0
2011-11-29,1,5.0
2011-12-04,1,5.0
2012-01-20,1,2.0
2012-01-27,1,5.0
2012-02-10,1,5.0
2012-03-07,2,3.0
2012-03-08,1,5.0
2012-04-24,1,5.0
2012-05-17,1,5.0
2012-05-19,1,4.0
2012-05-26,1,5.0
2012-05-29,1,3.0
2012-06-02,1,5.0
2012-06-03,1,5.0
2012-06-25,1,5.0
2012-06-27,1,5.0
2012-07-04,1,5.0
2012-07-11,1,1.0
2012-07-16,1,2.0
2012-07-28,1,5.0
2012-08-23,1,4.0
2012-09-21,1,5.0
2012-11-23,1,5.0
2012-11-28,1,5.0
2012-12-09,1,5.0
2013-01-25,1,4.0
2013-02-17,1,4.0
2013-03-08,1,5.0
2013-03-10,1,5.0
2013-06-03,1,5.0
2013-06-07,1,4.0
2013-07-20,1,1.0
2013-10-16,1,2.0
2013-12-03,1,5.0
2013-12-06,1,4.0
2013-12-14,1,5.0
2013-12-21,1,5.0
2013-12-26,1,5.0
2013-12-28,1,5.0
2014-01-03,1,4.0
